,Heartrate,TotalSteps,sleepMin,Label
0,64.86376812,8328,528,Low
1,61.05882353,8328,528,Low
2,59.72093023,8328,528,Low
3,58.93510324,8328,528,Low
4,58.59011628,8328,528,Low
5,60.11076923,8328,528,Low
6,66.85542169,8328,528,Low
7,83.63655914,8328,528,LowA
8,78.60348584,8328,528,Meduim
9,69.95275591,8328,528,Low
10,69.05011933,8328,528,Low
11,66.42257218,8328,528,Low
12,66.72093023,8328,528,Low
13,79.20560748,8328,528,Meduim
14,72.12171838,8328,528,Low
15,70.55023923,8328,528,Low
16,69.67228916,8328,528,Low
17,64.28292683,8328,528,Low
18,73.37892377,8328,528,Meduim
19,69.44132653,8328,528,Low
20,73.83816425,8328,528,Meduim
21,65.49077491,8328,528,Low
22,70.43882979,8328,528,Low
23,69.5379538,12409,388,Low
24,69.03858521,12409,388,Low
25,68.93333333,12409,388,Low
26,66.56586826,12409,388,Low
27,66.82568807,12409,388,Low
28,65.31438127,12409,388,Low
29,74.52941176,12409,388,Low
30,77.49616368,12409,388,Low
31,68.11504425,12409,388,Low
32,65.80719794,12409,388,Low
33,65.05263158,12409,388,Low
34,71.28676471,12409,388,Low
35,72.78337531,12409,388,Low
36,63.82507289,12409,388,Low
37,65.89784946,12409,388,Low
38,85.52877698,12409,388,LowA
39,113.7515873,12409,388,LowA
40,76.75837321,12409,388,Low
41,86.52980132,12409,388,LowA
42,82.98076923,12409,388,LowA
43,72.69436997,12409,388,Low
44,70.28971963,12409,388,Low
45,68.81491713,12409,388,Low
46,65.98901099,12409,388,Low
47,53.63609467,10461,413,Low
48,49.85207101,10461,413,Low
49,48.60681115,10461,413,Low
50,46.48632219,10461,413,Low
51,46.70121951,10461,413,Low
52,58.96601942,10461,413,Low
53,89.10429448,10461,413,LowA
54,69.6314433,10461,413,Low
55,62.06366048,10461,413,Low
56,69.17962466,10461,413,Low
57,66.10386473,10461,413,Low
58,84.46370023,10461,413,LowA
59,59.63943662,10461,413,Low
60,57.95518207,10461,413,Low
61,54.96590909,10461,413,Low
62,55.83333333,10461,413,Low
63,58.65116279,10461,413,Low
64,66.47016706,10461,413,Low
65,60.90225564,10461,413,Low
66,115.31818179999999,10461,413,LowA
67,73.91139241,10461,413,Low
68,63.31016043,10461,413,Low
69,53.91772152,10461,413,Low
70,52.77887789,10461,413,Low
71,63.49833887,10467,536,Low
72,60.42361111,10467,536,Low
73,61.48494983,10467,536,Low
74,62.89096573,10467,536,Low
75,59.29870129999999,10467,536,Low
76,61.1910828,10467,536,Low
77,60.07911392,10467,536,Low
78,62.328125,10467,536,Low
79,61.7721519,10467,536,Low
80,76.67040359,10467,536,Low
81,91.94402985,10467,536,LowA
82,80.23076923,10467,536,LowA
83,107.99550559999999,10467,536,LowA
84,75.31367292,10467,536,Low
